u,v,key,osmid,highway,lanes,maxspeed,name,oneway,ref,reversed,length,geometry,bridge,access,tunnel
369918536,369918512,0,"[471478362, 37741141]",tertiary,,,선원남로,False,,False,677.538020647776,"LINESTRING (128.5074157 35.857316, 128.5060603 35.8573323, 128.5059188 35.8573343, 128.5046345 35.8573522, 128.503412 35.857369, 128.5012191 35.8573992, 128.4998986 35.8574141)",,,
369918537,4632153899,0,469021209,residential,,,이곡서로,False,,False,84.0468620727869,"LINESTRING (128.5072909 35.8540989, 128.5063584 35.8541075)",,,
369918537,4634579637,0,469022213,residential,,,이곡동로,False,,False,79.6085279590419,"LINESTRING (128.5072909 35.8540989, 128.5081742 35.8540949)",,,
369918537,6291466164,0,671853521,secondary,,,성서로,False,,False,179.75125840437036,"LINESTRING (128.5072909 35.8540989, 128.5072348 35.852483)",,,
369918537,369918505,0,671853521,secondary,,,성서로,False,,True,143.46460932873086,"LINESTRING (128.5072909 35.8540989, 128.5073397 35.8553885)",,,
369919166,1916679926,0,32836583,secondary,,,성서동로,False,,True,198.09621104597858,"LINESTRING (128.5154815 35.8571521, 128.5155292 35.8589332)",,,
369919166,4634562002,0,32836583,secondary,,,성서동로,False,,False,212.77973956485312,"LINESTRING (128.5154815 35.8571521, 128.5153891 35.8553254, 128.515386 35.8552401)",,,
369919166,369918535,0,32836588,tertiary,,,선원남로,False,,False,506.64966503126175,"LINESTRING (128.5154815 35.8571521, 128.5180851 35.8571251, 128.5211026 35.8570787)",,,
369919166,4694799803,0,32836588,tertiary,,,선원남로,False,,True,488.59238581007276,"LINESTRING (128.5154815 35.8571521, 128.5128738 35.857205, 128.5125167 35.8572121, 128.5110029 35.8572429, 128.510159 35.85726, 128.5100617 35.857262)",,,
369922485,10939727055,0,886197441,secondary,,,달서대로,True,10,False,73.83812787781814,"LINESTRING (128.507131 35.8152988, 128.5078555 35.8149893)",,,
369922485,4989338040,0,1087527724,tertiary,,,월배로5길,False,,True,17.274370042677933,"LINESTRING (128.507131 35.8152988, 128.507251 35.8154199)",,,
